what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1362146677648
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362146690990
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362146695193
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362146711360
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1362146712767
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1362146716751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362146744037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362146887447
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362146890230
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362146891905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362146913699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362146925522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362146932193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362146985656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362146985800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362146994375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362146999841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147017958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147025155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362147032803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362147064717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147071643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147071760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147080931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147081046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362147100600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147108815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147112785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362147122854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362147194562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362147203237
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362147208949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147213576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147217119
error,log,,,"No command output when running: 'am start -n com.example.rush/com.example.rush.FirstMeetingActivity -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device BX903355FF",1362147227973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147246412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147248049
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362147254251
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1362147255818
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362147257093
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1362147257916
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362147259970
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362147266292
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1362147271909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147272073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147275027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147283995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147285854
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362147294699
executed,command,com.amazonaws.eclipse.dynamodb,,"org.eclipse.ui.file.save",1362147297123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147300816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362147302397
